instant,dteday,season,day_of_week,workingday,weather_situation,temp,atemp,humidity,windspeed,casual,registered,count,day_type,temp_cluster,humidity_cluster
1,2011-01-01,spring,saturday,0,misty,34.4167,0.363625,80.58330000000001,0.160446,331,654,985,weekend,Panas,Lembab
2,2011-01-02,spring,sunday,0,misty,36.3478,0.353739,69.6087,0.248539,131,670,801,weekend,Panas,Ideal
3,2011-01-03,spring,monday,1,clear,19.636400000000002,0.189405,43.7273,0.248309,120,1229,1349,weekdays,Dingin,Kering
4,2011-01-04,spring,tuesday,1,clear,20.0,0.212122,59.0435,0.160296,108,1454,1562,weekdays,Dingin,Ideal
5,2011-01-05,spring,wednesday,1,clear,22.6957,0.22927,43.695699999999995,0.1869,82,1518,1600,weekdays,Ideal,Kering
6,2011-01-06,spring,thursday,1,clear,20.4348,0.233209,51.8261,0.0895652,88,1518,1606,weekdays,Ideal,Ideal
7,2011-01-07,spring,friday,1,misty,19.6522,0.208839,49.8696,0.168726,148,1362,1510,weekdays,Dingin,Ideal
8,2011-01-08,spring,saturday,0,misty,16.5,0.162254,53.5833,0.266804,68,891,959,weekend,Dingin,Ideal
9,2011-01-09,spring,sunday,0,clear,13.833300000000001,0.116175,43.416700000000006,0.36195,54,768,822,weekend,Dingin,Kering
10,2011-01-10,spring,monday,1,clear,15.0833,0.150888,48.2917,0.223267,41,1280,1321,weekdays,Dingin,Ideal
11,2011-01-11,spring,tuesday,1,misty,16.9091,0.191464,68.6364,0.122132,43,1220,1263,weekdays,Dingin,Ideal
12,2011-01-12,spring,wednesday,1,clear,17.2727,0.160473,59.954499999999996,0.304627,25,1137,1162,weekdays,Dingin,Ideal
13,2011-01-13,spring,thursday,1,clear,16.5,0.150883,47.0417,0.301,38,1368,1406,weekdays,Dingin,Ideal
14,2011-01-14,spring,friday,1,clear,16.087,0.188413,53.7826,0.126548,54,1367,1421,weekdays,Dingin,Ideal
15,2011-01-15,spring,saturday,0,misty,23.3333,0.248112,49.875,0.157963,222,1026,1248,weekend,Ideal,Ideal
16,2011-01-16,spring,sunday,0,clear,23.166700000000002,0.234217,48.375,0.188433,251,953,1204,weekend,Ideal,Ideal
17,2011-01-17,spring,monday,0,misty,17.583299999999998,0.176771,53.75,0.194017,117,883,1000,weekdays,Dingin,Ideal
18,2011-01-18,spring,tuesday,1,misty,21.6667,0.232333,86.16669999999999,0.146775,9,674,683,weekdays,Ideal,Lembab
19,2011-01-19,spring,wednesday,1,misty,29.217399999999998,0.298422,74.1739,0.208317,78,1572,1650,weekdays,Ideal,Lembab
20,2011-01-20,spring,thursday,1,misty,26.1667,0.25505,53.833299999999994,0.195904,83,1844,1927,weekdays,Ideal,Ideal
21,2011-01-21,spring,friday,1,clear,17.75,0.157833,45.7083,0.353242,75,1468,1543,weekdays,Dingin,Ideal
22,2011-01-22,spring,saturday,0,clear,5.91304,0.0790696,40.0,0.17197,93,888,981,weekend,Sangat Dingin,Kering
23,2011-01-23,spring,sunday,0,clear,9.65217,0.0988391,43.6522,0.2466,150,836,986,weekend,Sangat Dingin,Kering
24,2011-01-24,spring,monday,1,clear,9.73913,0.11793,49.173899999999996,0.15833,86,1330,1416,weekdays,Sangat Dingin,Ideal
25,2011-01-25,spring,tuesday,1,misty,22.3478,0.234526,61.695699999999995,0.129796,186,1799,1985,weekdays,Ideal,Ideal
26,2011-01-26,spring,wednesday,1,light_rain/snow,21.75,0.2036,86.25,0.29385,34,472,506,weekdays,Ideal,Lembab
27,2011-01-27,spring,thursday,1,clear,19.5,0.2197,68.75,0.113837,15,416,431,weekdays,Dingin,Ideal
28,2011-01-28,spring,friday,1,misty,20.3478,0.223317,79.30430000000001,0.1233,38,1129,1167,weekdays,Ideal,Lembab
29,2011-01-29,spring,saturday,0,clear,19.6522,0.212126,65.17389999999999,0.145365,123,975,1098,weekend,Dingin,Ideal
30,2011-01-30,spring,sunday,0,clear,21.6522,0.250322,72.2174,0.0739826,140,956,1096,weekend,Ideal,Lembab
31,2011-01-31,spring,monday,1,misty,18.083299999999998,0.18625,60.375,0.187192,42,1459,1501,weekdays,Dingin,Ideal
32,2011-02-01,spring,tuesday,1,misty,19.2174,0.23453,82.9565,0.053213,47,1313,1360,weekdays,Dingin,Lembab
33,2011-02-02,spring,wednesday,1,misty,26.0,0.254417,77.5417,0.264308,72,1454,1526,weekdays,Ideal,Lembab
34,2011-02-03,spring,thursday,1,clear,18.695700000000002,0.177878,43.7826,0.277752,61,1489,1550,weekdays,Dingin,Kering
35,2011-02-04,spring,friday,1,misty,21.130399999999998,0.228587,58.521699999999996,0.127839,88,1620,1708,weekdays,Ideal,Ideal
36,2011-02-05,spring,saturday,0,misty,23.3333,0.243058,92.91669999999999,0.161079,100,905,1005,weekend,Ideal,Lembab
37,2011-02-06,spring,sunday,0,clear,28.5833,0.291671,56.833299999999994,0.1418,354,1269,1623,weekend,Ideal,Ideal
38,2011-02-07,spring,monday,1,clear,27.1667,0.303658,73.83330000000001,0.0454083,120,1592,1712,weekdays,Ideal,Lembab
39,2011-02-08,spring,tuesday,1,clear,22.0833,0.198246,53.7917,0.36195,64,1466,1530,weekdays,Ideal,Ideal
40,2011-02-09,spring,wednesday,1,misty,13.478299999999999,0.144283,49.4783,0.188839,53,1552,1605,weekdays,Dingin,Ideal
41,2011-02-10,spring,thursday,1,clear,14.434800000000001,0.149548,43.7391,0.221935,47,1491,1538,weekdays,Dingin,Kering
42,2011-02-11,spring,friday,1,clear,18.909100000000002,0.213509,50.6364,0.10855,149,1597,1746,weekdays,Dingin,Ideal
43,2011-02-12,spring,saturday,0,clear,22.25,0.232954,54.4167,0.203367,288,1184,1472,weekend,Ideal,Ideal
44,2011-02-13,spring,sunday,0,clear,31.652200000000004,0.324113,45.7391,0.260883,397,1192,1589,weekend,Panas,Ideal
45,2011-02-14,spring,monday,1,clear,41.5,0.39835,37.583299999999994,0.417908,208,1705,1913,weekdays,,Kering
46,2011-02-15,spring,tuesday,1,clear,26.608700000000002,0.254274,31.434800000000003,0.291374,140,1675,1815,weekdays,Ideal,Kering
47,2011-02-16,spring,wednesday,1,clear,31.8261,0.3162,42.3478,0.251791,218,1897,2115,weekdays,Panas,Kering
48,2011-02-17,spring,thursday,1,clear,43.5833,0.428658,50.5,0.230104,259,2216,2475,weekdays,,Ideal
49,2011-02-18,spring,friday,1,clear,52.1667,0.511983,51.6667,0.264925,579,2348,2927,weekdays,,Ideal
50,2011-02-19,spring,saturday,0,clear,39.9167,0.391404,18.7917,0.507463,532,1103,1635,weekend,Panas,Kering
51,2011-02-20,spring,sunday,0,clear,28.5217,0.27733,40.7826,0.223235,639,1173,1812,weekend,Ideal,Kering
52,2011-02-21,spring,monday,0,misty,30.3333,0.284075,60.5,0.307846,195,912,1107,weekdays,Panas,Ideal
53,2011-02-22,spring,tuesday,1,clear,18.2222,0.186033,57.7778,0.195683,74,1376,1450,weekdays,Dingin,Ideal
54,2011-02-23,spring,wednesday,1,clear,22.1739,0.245717,42.3043,0.094113,139,1778,1917,weekdays,Ideal,Kering
55,2011-02-24,spring,thursday,1,misty,29.565200000000004,0.289191,69.7391,0.250496,100,1707,1807,weekdays,Ideal,Ideal
56,2011-02-25,spring,friday,1,misty,36.4348,0.350461,71.2174,0.346539,120,1341,1461,weekdays,Panas,Lembab
